Input = Sprache;Sprache in %;Marvin Go in %;Stille in %;Inferenzdauer in ms
Sample251;22.2;77.8;0.0;5.002260208129883
Sample252;51.48;48.52;0.0;3.9997100830078125
Sample253;91.25;8.75;0.0;4.000186920166016
Sample254;100.0;0.0;0.0;3.9997100830078125
Sample255;0.0;100.0;0.0;5.002498626708984
Sample256;0.01;99.99;0.0;4.000663757324219
Sample257;0.0;100.0;0.0;4.000663757324219
Sample258;0.01;99.99;0.0;4.001617431640625
Sample259;99.8;0.2;0.0;5.001068115234375
Sample260;0.16;99.84;0.0;4.000425338745117
Sample261;0.0;100.0;0.0;5.001544952392578
Sample262;0.0;100.0;0.0;4.000425338745117
Sample263;98.3;1.7;0.0;4.00090217590332
Sample264;0.0;100.0;0.0;4.001140594482422
Sample265;0.0;100.0;0.0;3.9997100830078125
Sample266;0.32;99.68;0.0;4.00090217590332
Sample267;0.1;99.9;0.0;3.999948501586914
Sample268;0.03;99.97;0.0;4.00090217590332
Sample269;4.4;95.6;0.0;3.999948501586914
Sample270;14.19;85.81;0.0;3.9992332458496094
Sample271;0.0;100.0;0.0;4.001140594482422
Sample272;0.0;100.0;0.0;5.002021789550781
Sample273;69.66;30.34;0.0;4.001379013061523
Sample274;59.07;40.93;0.0;4.001855850219727
Sample275;0.0;100.0;0.0;4.000425338745117
Sample276;0.0;100.0;0.0;4.000425338745117
Sample277;0.0;100.0;0.0;4.001617431640625
Sample278;0.0;100.0;0.0;3.999948501586914
Sample279;2.76;97.24;0.0;5.000829696655273
Sample280;3.31;96.69;0.0;4.000425338745117
Sample281;0.0;100.0;0.0;5.001306533813477
Sample282;1.02;98.98;0.0;5.001544952392578
Sample283;48.8;43.87;7.33;4.000425338745117
Sample284;54.33;40.4;5.27;4.001140594482422
Sample285;49.38;40.14;10.49;4.001379013061523
Sample286;52.33;34.64;13.02;5.000591278076172
Sample287;51.59;32.27;16.14;4.001617431640625
Sample288;0.01;99.99;0.0;5.00178337097168
Sample289;0.01;99.99;0.0;3.9997100830078125
Sample290;0.36;99.64;0.0;4.001140594482422
Sample291;3.94;96.06;0.0;4.00090217590332
Sample292;0.2;99.8;0.0;4.00090217590332
Sample293;0.02;99.98;0.0;4.001617431640625
Sample294;0.02;99.98;0.0;4.000186920166016
Sample295;0.01;99.99;0.0;4.000663757324219
Sample296;0.0;100.0;0.0;4.002094268798828
Sample297;1.34;98.66;0.0;4.001855850219727
Sample298;0.01;99.99;0.0;4.000663757324219
Sample299;0.0;100.0;0.0;4.001379013061523

Input = Stille;Sprache in %;Marvin Go in %;Stille in %;Inferenzdauer in ms
Zielwert;0;0;100;N/A
Sample0;0.25;0.3;99.45;4.001379013061523
Sample1;0.25;0.3;99.45;4.002094268798828
Sample2;0.25;0.3;99.45;3.9992332458496094
Sample3;0.25;0.3;99.45;4.001140594482422
Sample4;0.25;0.3;99.45;4.004478454589844
Sample5;0.25;0.3;99.45;4.000663757324219
Sample6;0.25;0.3;99.45;4.001140594482422
Sample7;0.25;0.3;99.45;4.001379013061523
Sample8;0.25;0.3;99.45;5.000591278076172
Sample9;0.25;0.3;99.45;4.001855850219727
Sample10;0.25;0.3;99.45;4.000186920166016
Sample11;0.25;0.3;99.45;4.001140594482422
Sample12;0.25;0.3;99.45;4.001855850219727
Sample13;0.25;0.3;99.45;5.001068115234375
Sample14;0.25;0.3;99.45;4.00090217590332
Sample15;0.25;0.3;99.45;5.001068115234375
Sample16;0.25;0.3;99.45;5.001306533813477
Sample17;0.25;0.3;99.45;3.9997100830078125
Sample18;0.25;0.3;99.45;4.000425338745117
Sample19;0.25;0.3;99.45;5.001544952392578
Sample20;0.25;0.3;99.45;4.001379013061523
Sample21;0.25;0.3;99.45;5.00035285949707
Sample22;0.25;0.3;99.45;4.001617431640625
Sample23;0.25;0.3;99.45;3.999948501586914
Sample24;0.25;0.3;99.45;3.9992332458496094
Sample25;0.25;0.3;99.45;4.00090217590332
Sample26;0.25;0.3;99.45;4.000186920166016
Sample27;0.25;0.3;99.45;5.00178337097168
Sample28;0.25;0.3;99.45;4.001140594482422
Sample29;0.25;0.3;99.45;4.000663757324219
Sample30;0.25;0.3;99.45;4.000186920166016
Sample31;0.25;0.3;99.45;4.001617431640625
Sample32;0.25;0.3;99.45;4.000663757324219
Sample33;0.25;0.3;99.45;4.000186920166016
Sample34;0.25;0.3;99.45;3.999471664428711
Sample35;0.25;0.3;99.45;4.001379013061523
Sample36;0.25;0.3;99.45;4.000425338745117
Sample37;0.25;0.3;99.45;4.00090217590332
Sample38;0.25;0.3;99.45;3.999948501586914
Sample39;0.25;0.3;99.45;5.002021789550781
Sample40;0.25;0.3;99.45;3.9997100830078125
Sample41;0.25;0.3;99.45;4.000663757324219
Sample42;0.25;0.3;99.45;3.999948501586914
Sample43;0.25;0.3;99.45;4.00090217590332
Sample44;0.25;0.3;99.45;5.002021789550781
Sample45;0.25;0.3;99.45;5.000114440917969
Sample46;0.25;0.3;99.45;4.001855850219727
Sample47;0.25;0.3;99.45;4.000186920166016
Sample48;0.25;0.3;99.45;5.376100540161133
Sample49;0.25;0.3;99.45;4.001140594482422
Sample50;0.25;0.3;99.45;3.9997100830078125
Sample51;0.25;0.3;99.45;4.001855850219727
Sample52;0.25;0.3;99.45;4.000425338745117
Sample53;0.25;0.3;99.45;4.00090217590332
Sample54;0.25;0.3;99.45;5.001068115234375
Sample55;0.25;0.3;99.45;4.001140594482422
Sample56;0.25;0.3;99.45;4.00090217590332
Sample57;0.25;0.3;99.45;3.9992332458496094
Sample58;0.25;0.3;99.45;4.002094268798828
Sample59;0.25;0.3;99.45;3.999471664428711
Sample60;0.25;0.3;99.45;4.00233268737793
Sample61;0.25;0.3;99.45;3.9997100830078125
Sample62;0.25;0.3;99.45;4.001140594482422
Sample63;0.25;0.3;99.45;4.000425338745117
Sample64;0.25;0.3;99.45;3.9997100830078125
Sample65;0.25;0.3;99.45;4.001855850219727
Sample66;0.25;0.3;99.45;3.9997100830078125
Sample67;0.25;0.3;99.45;5.000829696655273
Sample68;0.25;0.3;99.45;4.00090217590332
Sample69;0.25;0.3;99.45;4.001140594482422
Sample70;0.25;0.3;99.45;3.9992332458496094
Sample71;0.25;0.3;99.45;4.001140594482422
Sample72;0.25;0.3;99.45;4.000663757324219
Sample73;0.25;0.3;99.45;3.9992332458496094
Sample74;0.25;0.3;99.45;4.002094268798828
Sample75;0.25;0.3;99.45;5.000114440917969
Sample76;0.25;0.3;99.45;5.00178337097168
Sample77;0.25;0.3;99.45;4.001617431640625
Sample78;0.25;0.3;99.45;3.999948501586914
Sample79;0.25;0.3;99.45;4.000663757324219
Sample80;0.25;0.3;99.45;4.00233268737793
Sample81;0.25;0.3;99.45;5.000829696655273
Sample82;0.25;0.3;99.45;4.000186920166016
Sample83;0.25;0.3;99.45;4.00090217590332
Sample84;0.25;0.3;99.45;4.001617431640625
Sample85;0.25;0.3;99.45;4.000425338745117
Sample86;0.25;0.3;99.45;4.000663757324219
Sample87;0.25;0.3;99.45;3.9997100830078125
Sample88;0.25;0.3;99.45;4.001379013061523
Sample89;0.25;0.3;99.45;4.001617431640625
Sample90;0.25;0.3;99.45;4.001855850219727
Sample91;0.25;0.3;99.45;4.001140594482422
Sample92;0.25;0.3;99.45;4.002094268798828
Sample93;0.25;0.3;99.45;4.000425338745117
Sample94;0.25;0.3;99.45;4.001140594482422
Sample95;0.25;0.3;99.45;5.00178337097168
Sample96;0.25;0.3;99.45;3.998994827270508
Sample97;0.25;0.3;99.45;4.001140594482422
Sample98;0.25;0.3;99.45;4.00090217590332
Sample99;0.25;0.3;99.45;5.000591278076172
Sample100;0.25;0.3;99.45;3.999948501586914
Sample101;0.25;0.3;99.45;3.9997100830078125
Sample102;0.25;0.3;99.45;4.002094268798828
Sample103;0.25;0.3;99.45;3.999471664428711
Sample104;0.25;0.3;99.45;5.001068115234375
Sample105;0.25;0.3;99.45;5.002021789550781
Sample106;0.25;0.3;99.45;4.000186920166016
Sample107;0.25;0.3;99.45;3.9987564086914062
Sample108;0.25;0.3;99.45;4.000663757324219
Sample109;0.25;0.3;99.45;4.001140594482422
Sample110;0.25;0.3;99.45;4.002094268798828
Sample111;0.25;0.3;99.45;4.000425338745117
Sample112;0.25;0.3;99.45;4.001140594482422
Sample113;0.25;0.3;99.45;4.999637603759766
Sample114;0.25;0.3;99.45;4.00090217590332
Sample115;0.25;0.3;99.45;4.001140594482422
Sample116;0.25;0.3;99.45;5.001544952392578
Sample117;0.25;0.3;99.45;4.00090217590332
Sample118;0.25;0.3;99.45;4.001379013061523
Sample119;0.25;0.3;99.45;4.000663757324219
Sample120;0.25;0.3;99.45;5.001306533813477
Sample121;0.25;0.3;99.45;5.001544952392578
Sample122;0.25;0.3;99.45;4.001379013061523
Sample123;0.25;0.3;99.45;3.999471664428711
Sample124;0.25;0.3;99.45;5.001306533813477
Sample125;0.25;0.3;99.45;4.00090217590332
Sample126;0.25;0.3;99.45;4.000663757324219
Sample127;0.25;0.3;99.45;5.000829696655273
Sample128;0.25;0.3;99.45;5.000591278076172
Sample129;0.25;0.3;99.45;4.00090217590332
Sample130;0.25;0.3;99.45;5.002498626708984
Sample131;0.25;0.3;99.45;3.999948501586914
Sample132;0.25;0.3;99.45;5.000829696655273
Sample133;0.25;0.3;99.45;4.000663757324219
Sample134;0.25;0.3;99.45;5.001544952392578
Sample135;0.25;0.3;99.45;5.000829696655273
Sample136;0.25;0.3;99.45;5.000829696655273
Sample137;0.25;0.3;99.45;5.001544952392578
Sample138;0.25;0.3;99.45;5.00178337097168
Sample139;0.25;0.3;99.45;3.999948501586914
Sample140;0.25;0.3;99.45;4.001140594482422
Sample141;0.25;0.3;99.45;3.999948501586914
Sample142;0.25;0.3;99.45;4.000663757324219
Sample143;0.25;0.3;99.45;3.999948501586914
Sample144;0.25;0.3;99.45;4.00090217590332
Sample145;0.25;0.3;99.45;5.002498626708984
Sample146;0.25;0.3;99.45;4.000425338745117
Sample147;0.25;0.3;99.45;4.001140594482422
Sample148;0.25;0.3;99.45;4.001379013061523
Sample149;0.25;0.3;99.45;5.002021789550781
Sample150;0.25;0.3;99.45;4.000186920166016
Sample151;0.25;0.3;99.45;3.9997100830078125
Sample152;0.25;0.3;99.45;4.001855850219727
Sample153;0.25;0.3;99.45;4.001855850219727
Sample154;0.25;0.3;99.45;3.9997100830078125
Sample155;0.25;0.3;99.45;5.002260208129883
Sample156;0.25;0.3;99.45;4.000663757324219
Sample157;0.25;0.3;99.45;3.9987564086914062
Sample158;0.25;0.3;99.45;4.001140594482422
Sample159;0.25;0.3;99.45;3.999471664428711
Sample160;0.25;0.3;99.45;4.000663757324219
Sample161;0.25;0.3;99.45;5.002021789550781
Sample162;0.25;0.3;99.45;5.000829696655273
Sample163;0.25;0.3;99.45;4.001140594482422
Sample164;0.25;0.3;99.45;3.999948501586914
Sample165;0.25;0.3;99.45;4.001379013061523
Sample166;0.25;0.3;99.45;3.9997100830078125
Sample167;0.25;0.3;99.45;4.00090217590332
Sample168;0.25;0.3;99.45;4.001617431640625
Sample169;0.25;0.3;99.45;4.000425338745117
Sample170;0.25;0.3;99.45;4.00090217590332
Sample171;0.25;0.3;99.45;5.000114440917969
Sample172;0.25;0.3;99.45;5.002498626708984
Sample173;0.25;0.3;99.45;3.9997100830078125
Sample174;0.25;0.3;99.45;4.001855850219727
Sample175;0.25;0.3;99.45;3.9997100830078125
Sample176;0.25;0.3;99.45;5.002021789550781
Sample177;0.25;0.3;99.45;4.001140594482422
Sample178;0.25;0.3;99.45;3.999948501586914
Sample179;0.25;0.3;99.45;5.002021789550781
Sample180;0.25;0.3;99.45;4.000186920166016
Sample181;0.25;0.3;99.45;3.9992332458496094
Sample182;0.25;0.3;99.45;4.001140594482422
Sample183;0.25;0.3;99.45;4.000425338745117
Sample184;0.25;0.3;99.45;4.000663757324219
Sample185;0.25;0.3;99.45;4.000663757324219
Sample186;0.25;0.3;99.45;4.002094268798828
Sample187;0.25;0.3;99.45;4.000186920166016
Sample188;0.25;0.3;99.45;5.002498626708984
Sample189;0.25;0.3;99.45;5.000591278076172
Sample190;0.25;0.3;99.45;3.9997100830078125
Sample191;0.25;0.3;99.45;5.002021789550781
Sample192;0.25;0.3;99.45;4.001379013061523
Sample193;0.25;0.3;99.45;4.00090217590332
Sample194;0.25;0.3;99.45;4.001140594482422
Sample195;0.25;0.3;99.45;4.00090217590332
Sample196;0.25;0.3;99.45;4.000425338745117
Sample197;0.25;0.3;99.45;4.000425338745117
Sample198;0.25;0.3;99.45;4.001855850219727
Sample199;0.25;0.3;99.45;4.000663757324219
Sample200;0.25;0.3;99.45;4.001379013061523
Sample201;0.25;0.3;99.45;4.001617431640625
Sample202;0.25;0.3;99.45;5.000114440917969
Sample203;0.25;0.3;99.45;5.002260208129883
Sample204;0.25;0.3;99.45;5.000114440917969
Sample205;0.25;0.3;99.45;5.00178337097168
Sample206;0.25;0.3;99.45;4.001379013061523
Sample207;0.25;0.3;99.45;3.999471664428711
Sample208;0.25;0.3;99.45;5.001544952392578
Sample209;0.25;0.3;99.45;5.001068115234375
Sample210;0.25;0.3;99.45;4.001617431640625
Sample211;0.25;0.3;99.45;4.002094268798828
Sample212;0.25;0.3;99.45;3.9997100830078125
Sample213;0.25;0.3;99.45;4.000663757324219
Sample214;0.25;0.3;99.45;4.00090217590332
Sample215;0.25;0.3;99.45;4.001855850219727
Sample216;0.25;0.3;99.45;5.000829696655273
Sample217;0.25;0.3;99.45;4.001379013061523
Sample218;0.25;0.3;99.45;5.000591278076172
Sample219;0.25;0.3;99.45;4.000186920166016
Sample220;0.25;0.3;99.45;4.000425338745117
Sample221;0.25;0.3;99.45;4.001140594482422
Sample222;0.25;0.3;99.45;3.999471664428711
Sample223;0.25;0.3;99.45;4.000425338745117
Sample224;0.25;0.3;99.45;4.001140594482422
Sample225;0.25;0.3;99.45;4.001140594482422
Sample226;0.25;0.3;99.45;5.000591278076172
Sample227;0.25;0.3;99.45;4.00090217590332
Sample228;0.25;0.3;99.45;4.000663757324219
Sample229;0.25;0.3;99.45;3.9997100830078125
Sample230;0.25;0.3;99.45;3.999471664428711
Sample231;0.25;0.3;99.45;4.001855850219727
Sample232;0.25;0.3;99.45;5.00178337097168
Sample233;0.25;0.3;99.45;3.999948501586914
Sample234;0.25;0.3;99.45;4.00090217590332
Sample235;0.25;0.3;99.45;4.000663757324219
Sample236;0.25;0.3;99.45;4.00090217590332
Sample237;0.25;0.3;99.45;3.999948501586914
Sample238;0.25;0.3;99.45;5.001544952392578
Sample239;0.25;0.3;99.45;4.001140594482422
Sample240;0.25;0.3;99.45;4.000186920166016
Sample241;0.25;0.3;99.45;4.000663757324219
Sample242;0.25;0.3;99.45;4.001855850219727
Sample243;0.25;0.3;99.45;4.00090217590332
Sample244;0.25;0.3;99.45;5.001068115234375
Sample245;0.25;0.3;99.45;3.999948501586914
Sample246;0.25;0.3;99.45;4.001855850219727
Sample247;0.25;0.3;99.45;4.002094268798828
Sample248;0.25;0.3;99.45;5.000114440917969
Sample249;0.25;0.3;99.45;5.001306533813477
Sample250;0.25;0.3;99.45;4.00090217590332
Sample251;0.25;0.3;99.45;4.001617431640625
Sample252;0.25;0.3;99.45;4.001379013061523
Sample253;0.25;0.3;99.45;3.999948501586914
Sample254;0.25;0.3;99.45;4.001617431640625
Sample255;0.25;0.3;99.45;4.000186920166016
Sample256;0.25;0.3;99.45;4.000425338745117
Sample257;0.25;0.3;99.45;3.999948501586914
Sample258;0.25;0.3;99.45;4.001140594482422
Sample259;0.25;0.3;99.45;4.001617431640625
Sample260;0.25;0.3;99.45;5.001306533813477
Sample261;0.25;0.3;99.45;4.000425338745117
Sample262;0.25;0.3;99.45;5.002021789550781
Sample263;0.25;0.3;99.45;3.9997100830078125
Sample264;0.25;0.3;99.45;5.002260208129883
Sample265;0.25;0.3;99.45;3.999471664428711
Sample266;0.25;0.3;99.45;4.001617431640625
Sample267;0.25;0.3;99.45;4.000663757324219
Sample268;0.25;0.3;99.45;4.000663757324219
Sample269;0.25;0.3;99.45;3.999948501586914
Sample270;0.25;0.3;99.45;4.001617431640625
Sample271;0.25;0.3;99.45;4.00090217590332
Sample272;0.25;0.3;99.45;3.9997100830078125
Sample273;0.25;0.3;99.45;4.001379013061523
Sample274;0.25;0.3;99.45;4.000425338745117
Sample275;0.25;0.3;99.45;4.000425338745117
Sample276;0.25;0.3;99.45;3.999948501586914
Sample277;0.25;0.3;99.45;4.002094268798828
Sample278;0.25;0.3;99.45;4.002094268798828
Sample279;0.25;0.3;99.45;4.000663757324219
Sample280;0.25;0.3;99.45;5.001306533813477
Sample281;0.25;0.3;99.45;4.00090217590332
Sample282;0.25;0.3;99.45;5.001306533813477
Sample283;0.25;0.3;99.45;3.9997100830078125
Sample284;0.25;0.3;99.45;4.001855850219727
Sample285;0.25;0.3;99.45;4.001379013061523
Sample286;0.25;0.3;99.45;3.9992332458496094
Sample287;0.25;0.3;99.45;4.001855850219727
Sample288;0.25;0.3;99.45;4.000186920166016
Sample289;0.25;0.3;99.45;4.000425338745117
Sample290;0.25;0.3;99.45;4.001855850219727
Sample291;0.25;0.3;99.45;4.000186920166016
Sample292;0.25;0.3;99.45;4.000425338745117
Sample293;0.25;0.3;99.45;4.000663757324219
Sample294;0.25;0.3;99.45;4.00233268737793
Sample295;0.25;0.3;99.45;4.000425338745117
Sample296;0.25;0.3;99.45;3.999948501586914
Sample297;0.25;0.3;99.45;5.002021789550781
Sample298;0.25;0.3;99.45;4.000425338745117
Sample299;0.25;0.3;99.45;4.00090217590332

